optimal_bounday_area = 1464.500000
Temperature	Acceptanced	Randum	Cost	WastedArea
3.1458e-02	1540.5000	3593	   0	76.0000	4.9335
2.9885e-02	1540.5000	3561	   0	76.0000	4.9335
2.8391e-02	1540.5000	3750	   0	76.0000	4.9335
2.6971e-02	1540.5000	3727	   0	76.0000	4.9335
2.5623e-02	1540.5000	3619	   0	76.0000	4.9335
2.4342e-02	1540.5000	3639	   0	76.0000	4.9335
2.3124e-02	1540.5000	3718	   0	76.0000	4.9335
2.1968e-02	1540.5000	3626	   0	76.0000	4.9335
2.0870e-02	1540.5000	3739	   0	76.0000	4.9335
1.9826e-02	1540.5000	3645	   0	76.0000	4.9335
1.8835e-02	1540.5000	3629	   0	76.0000	4.9335
1.7893e-02	1540.5000	3721	   0	76.0000	4.9335
1.6999e-02	1540.5000	3643	   0	76.0000	4.9335
1.6149e-02	1540.5000	3639	   0	76.0000	4.9335
1.5341e-02	1540.5000	3603	   0	76.0000	4.9335
1.4574e-02	1540.5000	3709	   0	76.0000	4.9335
1.3845e-02	1540.5000	3607	   0	76.0000	4.9335
1.3153e-02	1540.5000	3636	   0	76.0000	4.9335
1.2496e-02	1540.5000	3692	   0	76.0000	4.9335
1.1871e-02	1540.5000	3612	   0	76.0000	4.9335
1.1277e-02	1540.5000	3724	   0	76.0000	4.9335
1.0713e-02	1540.5000	3602	   0	76.0000	4.9335
1.0178e-02	1540.5000	3777	   0	76.0000	4.9335
9.6688e-03	1540.5000	3538	   0	76.0000	4.9335
9.1854e-03	1540.5000	3730	   0	76.0000	4.9335
8.7261e-03	1540.5000	3581	   0	76.0000	4.9335
8.2898e-03	1540.5000	3667	   0	76.0000	4.9335
7.8753e-03	1540.5000	3706	   0	76.0000	4.9335
7.4815e-03	1540.5000	3686	   0	76.0000	4.9335
7.1075e-03	1540.5000	3776	   0	76.0000	4.9335
6.7521e-03	1540.5000	3582	   0	76.0000	4.9335
6.4145e-03	1540.5000	3618	   0	76.0000	4.9335
6.0938e-03	1540.5000	3727	   0	76.0000	4.9335
5.7891e-03	1540.5000	3591	   0	76.0000	4.9335
5.4996e-03	1540.5000	3650	   0	76.0000	4.9335
5.2246e-03	1540.5000	3752	   0	76.0000	4.9335
4.9634e-03	1540.5000	3680	   0	76.0000	4.9335
4.7152e-03	1540.5000	3724	   0	76.0000	4.9335
4.4795e-03	1540.5000	3715	   0	76.0000	4.9335
4.2555e-03	1540.5000	3809	   0	76.0000	4.9335
4.0427e-03	1540.5000	3707	   0	76.0000	4.9335
3.8406e-03	1540.5000	3684	   0	76.0000	4.9335
3.6486e-03	1540.5000	3706	   0	76.0000	4.9335
3.4661e-03	1540.5000	3725	   0	76.0000	4.9335
3.2928e-03	1540.5000	3704	   0	76.0000	4.9335
3.1282e-03	1540.5000	3663	   0	76.0000	4.9335
2.9718e-03	1540.5000	3640	   0	76.0000	4.9335
2.8232e-03	1540.5000	3659	   0	76.0000	4.9335
2.6820e-03	1540.5000	3647	   0	76.0000	4.9335
2.5479e-03	1540.5000	3644	   0	76.0000	4.9335
2.4205e-03	1540.5000	3683	   0	76.0000	4.9335
2.2995e-03	1540.5000	3685	   0	76.0000	4.9335
2.1845e-03	1540.5000	3644	   0	76.0000	4.9335
2.0753e-03	1540.5000	3667	   0	76.0000	4.9335
1.9715e-03	1540.5000	3652	   0	76.0000	4.9335
1.8730e-03	1540.5000	3687	   0	76.0000	4.9335
1.7793e-03	1540.5000	3668	   0	76.0000	4.9335
1.6903e-03	1540.5000	3614	   0	76.0000	4.9335
1.6058e-03	1540.5000	3681	   0	76.0000	4.9335
1.5255e-03	1540.5000	3637	   0	76.0000	4.9335
1.4493e-03	1540.5000	3692	   0	76.0000	4.9335
1.3768e-03	1540.5000	3610	   0	76.0000	4.9335
1.3080e-03	1540.5000	3629	   0	76.0000	4.9335
1.2426e-03	1540.5000	3712	   0	76.0000	4.9335
1.1804e-03	1540.5000	3593	   0	76.0000	4.9335
1.1214e-03	1540.5000	3665	   0	76.0000	4.9335
1.0653e-03	1540.5000	3641	   0	76.0000	4.9335
1.0121e-03	1540.5000	3688	   0	76.0000	4.9335
9.6147e-04	1540.5000	3640	   0	76.0000	4.9335
Tentative: 1540.5000
